,game_id,role,round_num,rule_idx,text,time
0,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,0,17,"""ollers have purple leaves and berries, the berries and trunk can be any color but the leaves are always purple/violet""",1638203449858
1,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,0,17,"""Okay thanks!""",1638203461067
2,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,1,7,"""morseths have purple tails, everything else is irrelavant""",1638203592856
3,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""hello """,1638203673618
4,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,student,0,9,"""Hi""",1638203678736
5,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""it has no leaves but berries in groups of two """,1638203686744
6,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,student,0,9,"""Okay, is that all?""",1638203704279
7,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""Hi""",1638203710564
8,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""yeah can be any colour """,1638203712540
9,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""youll see what i mean """,1638203718696
10,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,0,38,"""Hi there. Tell me about Zorbs""",1638203728760
11,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,student,0,9,"""okay, thank you. I am going to hit continue then """,1638203737518
12,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""other ones have no leaves or no berries some have both """,1638203741528
13,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""no worries good lick """,1638203746282
14,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,"""luck""",1638203747887
15,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,student,0,9,"""thanks""",1638203752500
16,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""So the zorbs vary, however from the grid I saw, any animal with orange wings is always a zorb""",1638203765113
17,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""an animal with white wings, an orange body, purple legs and a white face is also a zorb""",1638203793664
18,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,0,38,"""OK sounds good.""",1638203795113
19,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""and finally an animal with no wings, purple legs and a white face is also a zorb""",1638203816320
20,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""anything else you can ignore""",1638203827784
21,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,"""hope that makes sense""",1638203833258
22,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,0,38,"""Great! I've taken notes!""",1638203871808
23,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,0,38,"""Shall we continue?""",1638203886071
