,game_id,role,round_num,rule_idx,text,time
0,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,0,8,"""hello""",1638463900728
1,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,0,8,"""i think the morseths are only 2 colors at the most""",1638463909340
2,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Hi!""",1638463962786
3,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""Hi """,1638463964185
4,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""the species will have rigged legs - NOT STRAIGHT""",1638463988120
5,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""at least 6""",1638463995102
6,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""OK, not straight legs, got it. """,1638464001358
7,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Anything else I need to know?""",1638464006359
8,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""at the tail end, there is a circular part which has to be purple""",1638464025270
9,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,0,1,"""Hello!""",1638464028448
10,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""OK""",1638464031235
11,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Is that it?""",1638464047013
12,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,0,1,"""HI! Plants of the morseth species are flowers that have thorns on their stalks. They may or may not have tendrils coming out of their petals.""",1638464048108
13,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""doesnt matter if they have antennas""",1638464057735
14,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""Hi """,1638464061760
15,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""OK""",1638464061972
16,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""just the circular bit has to be there""",1638464070413
17,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,"""Hello!""",1638464075671
18,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Got it""",1638464078509
19,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""at the bottom half of their body""",1638464079681
20,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""OK""",1638464083998
21,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,0,1,"""And their petals seem to come in any colour. """,1638464085132
22,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""purple*""",1638464092081
23,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Yep. Continue, then, if that's it?""",1638464102688
24,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,0,1,"""is that all I need to know, that there are thorns on the stalks?""",1638464104052
25,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""i think thats iy""",1638464107725
26,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,"""it""",1638464109475
27,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,"""Sure it'll make sense when I see them. """,1638464112947
28,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""The creatures ""zorbs"" always have yellow beaks. They can have a variety of feathers in different place from just the bottom right up to being fully feathered""",1638464123036
29,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""I'm not too sure it was very confusing""",1638464130247
30,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,0,1,"""That's the only thing I can find in common among all the Morseths. """,1638464132253
31,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""The owl like bodies seem to only be white, purple or orange in colour """,1638464142587
32,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,0,1,"""ok good enough for me""",1638464144700
33,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,"""i think the correct fish have either whiskers or teeth but not both""",1638464145356
34,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,0,1,"""If that is all, I'm going to continue""",1638464154198
35,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,0,1,"""Ok!""",1638464156332
36,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""It seemed more likely they were not a zorb if they had less leaves and less colour""",1638464159066
37,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""The feathers seemed to be predominantly white """,1638464160407
38,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""The zorbs typically had both fruit and leaves""",1638464177135
39,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,1,28,"""what colour are they?""",1638464178904
40,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""It was actually really hard to determine differences between the creatures eek! """,1638464183077
41,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,"""they can be any color""",1638464187825
42,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,"""Okay all that information is very helpful, thank you!""",1638464188867
43,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""They all looked the same in my opinion """,1638464190400
44,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,"""or comination""",1638464190696
45,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,0,33,"""Hi, they were plants rather than animals?""",1638464196638
46,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""But fingers crossed!""",1638464198818
47,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""they were plants""",1638464207191
48,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,1,28,"""so whiskers or teeth? i'll try that.""",1638464210057
49,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""they looked like little trees""",1638464212113
50,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,"""Oh no! I think you did a good job trying to explain the differences though so hopefully we are successful. """,1638464213309
51,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,"""okay!""",1638464218569
52,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,"""Is there anything else to add before we move on?""",1638464222351
53,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,student,0,12,"""hi""",1638464223720
54,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,explorer,0,12,"""white wings with purple feet""",1638464228337
55,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,0,33,"""Was the size consistent?""",1638464229678
56,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""No I think that covers it """,1638464229725
57,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,1,28,"""pity chat didn't work last time!""",1638464235550
58,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""Yes the sizes were all the same""",1638464239427
59,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,explorer,0,12,"""and orange antenna""",1638464242229
60,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,0,33,"""Any common colours?""",1638464249050
61,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,"""oh no, i typed something but i guess it didnt go through?""",1638464251504
62,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,0,34,"""Zorbs all had an orange center of the flower.""",1638464253939
63,2438-ec0ee85f-c872-456b-99d4-1723e0dd5058,student,0,49,"""hello""",1638464260301
64,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,"""Okay I am ready to move on if you are""",1638464260574
65,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,explorer,0,12,"""some white wings purple feet with no antenna""",1638464262181
66,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""Yep I think you progress it your side """,1638464269373
67,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,"""All the colours seemed as common as each other""",1638464272965
68,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,"""Good luck!""",1638464273767
69,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,0,34,"""No matter the leaf or stem colour, as long as it had an orange centre.""",1638464273918
70,6974-547e2a24-2c44-49a4-a0d3-025bef405760,student,0,5,"""Hello""",1638464279405
